SHA	Author	Date	Message
25094cf	jhermann	2019-02-14 11:54:24 +0100	pandas: future topics
6882db1	jhermann	2019-02-14 11:53:41 +0100	git: Committing Clean Notebooks Manually
90642cb	jhermann	2019-02-12 13:00:59 +0100	sub-topics for Pandas
6454187	jhermann	2019-02-12 12:44:22 +0100	more links
1d32705	jhermann	2019-02-12 12:30:20 +0100	minor readme fixes
b67b243	jhermann	2019-02-12 12:28:30 +0100	add first batch of notebooks for various topics
5c6b92a	jhermann	2019-02-12 12:12:09 +0100	add topics via subdirs
3496a8b	jhermann	2019-02-11 16:27:29 +0100	add TOC
f95cae2	jhermann	2019-02-11 16:20:36 +0100	add CC BY-SA 2.0
ad3cdd5	Jürgen Hermann	2019-02-11 16:06:17 +0100	Initial commit
