"CMDB_Id","Distribution","Architecture","Environment","Team","Last seen","Last modified","Installed version"
266219075,"jessie","amd64","QA","Ops App1","2019-02-19 08:24","2019-02-19 08:24","42.28-2(amd64)"
148415521,"jessie","amd64","Canary","Ops App1","2019-02-19 08:59","2019-02-19 08:59","42.28-2(amd64)"
287091306,"jessie","amd64","LIVE","Ops App1","2019-02-19 09:06","2019-02-19 09:06","42.28-2(amd64)"
287091303,"jessie","amd64","LIVE","Ops App1","2019-02-19 09:27","2019-02-19 09:27","42.28-2(amd64)"
266219089,"jessie","amd64","QA","Ops App1","2019-02-19 09:54","2019-02-19 09:54","42.28-2(amd64)"
223019758,"jessie","amd64","Canary","Ops App1","2019-02-19 10:28","2019-02-19 10:28","42.28-2(amd64)"
267305620,"jessie","amd64","","Ops App1","2019-02-19 10:55","2019-02-19 10:55","42.28-2(amd64)"
88057097,"jessie","amd64","DEV","Platform","2019-02-19 05:57","2019-02-18 08:50","42.44-1(amd64)"
88057004,"jessie","amd64","QA","Platform","2019-02-19 07:18","2019-02-18 09:37","42.44-1(amd64)"
173042629,"jessie","amd64","DEV","Platform","2019-02-19 07:45","2019-02-18 10:04","42.44-1(amd64)"
274471381,"jessie","amd64","QA","Platform","2019-02-19 07:48","2019-02-18 10:21","42.44-1(amd64)"
104903054,"jessie","amd64","DEV","Platform","2019-02-19 05:55","2019-02-18 11:52","42.44-1(amd64)"
84814298,"jessie","amd64","QA","Platform","2019-02-19 09:30","2019-02-18 12:43","42.44-1(amd64)"
95041659,"jessie","amd64","DEV","Platform","2019-02-19 08:17","2019-02-18 13:20","42.44-1(amd64)"
96571353,"jessie","amd64","DEV","Platform","2019-02-19 09:51","2019-02-18 13:31","42.44-1(amd64)"
173028363,"jessie","amd64","LIVE","Platform","2019-02-19 08:30","2019-02-18 13:55","42.44-1(amd64)"
173028357,"jessie","amd64","LIVE","Platform","2019-02-18 14:06","2019-02-18 14:06","42.44-1(amd64)"
88057207,"jessie","amd64","LIVE","Platform","2019-02-19 09:27","2019-02-18 14:30","42.44-1(amd64)"
85273524,"jessie","amd64","LIVE","Platform","2019-02-19 08:42","2019-02-18 14:38","42.44-1(amd64)"
173028184,"jessie","amd64","LIVE","Platform","2019-02-18 14:57","2019-02-18 14:57","42.44-1(amd64)"
173028180,"jessie","amd64","LIVE","Platform","2019-02-18 15:03","2019-02-18 15:03","42.44-1(amd64)"
294479912,"jessie","amd64","LIVE","Platform","2019-02-19 10:42","2019-02-18 15:05","42.44-1(amd64)"
85159211,"jessie","amd64","LIVE","Platform","2019-02-19 10:49","2019-02-18 15:33","42.44-1(amd64)"
90478044,"jessie","amd64","LIVE","Platform","2019-02-18 16:03","2019-02-18 16:03","42.44-1(amd64)"
274471886,"jessie","amd64","LIVE","Platform","2019-02-18 17:04","2019-02-18 17:04","42.44-1(amd64)"
104986393,"jessie","amd64","LIVE","Platform","2019-02-18 17:16","2019-02-18 17:16","42.44-1(amd64)"
294393056,"jessie","amd64","LIVE","Platform","2019-02-18 17:36","2019-02-18 17:36","42.44-1(amd64)"
274472346,"jessie","amd64","LIVE","Platform","2019-02-18 18:07","2019-02-18 18:07","42.44-1(amd64)"
88057056,"jessie","amd64","QA","Platform","2019-02-18 18:33","2019-02-18 18:33","42.44-1(amd64)"
173042625,"jessie","amd64","QA","Platform","2019-02-18 18:37","2019-02-18 18:37","42.44-1(amd64)"
88057171,"jessie","amd64","LIVE","Platform","2019-02-18 18:52","2019-02-18 18:52","42.44-1(amd64)"
88057133,"jessie","amd64","LIVE","Platform","2019-02-18 19:25","2019-02-18 19:25","42.44-1(amd64)"
90478080,"jessie","amd64","LIVE","Platform","2019-02-18 19:30","2019-02-18 19:30","42.44-1(amd64)"
104903092,"jessie","amd64","QA","Platform","2019-02-18 20:20","2019-02-18 20:20","42.44-1(amd64)"
